title,category,rating,quote
真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港),2003 / 英国 美国 法国 / 喜剧 剧情 爱情,8.6,爱，是个动词。
疯狂原始人 / The Croods / 古鲁家族(港 / 台),2013 / 美国 / 喜剧 动画 冒险,8.7,老少皆宜，这就是好莱坞动画的魅力。
喜宴 / 囍宴 / The Wedding Banquet,1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭,8.9,中国家庭的喜怒哀乐忍。
英雄本色 / A Better Tomorrow  /  Gangland Boss,1986 / 香港 / 剧情 动作 犯罪,8.7,英雄泪短，兄弟情长。
东邪西毒 / 東邪西毒 / Ashes of Time,1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装,8.6,电影诗。
萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,1988 / 日本 / 动画 剧情 战争,8.7,幸福是生生不息，却难以触及的远。
血战钢锯岭 / Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台),2016 / 美国 澳大利亚 / 剧情 传记 历史 战争,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
贫民窟的百万富翁 / Slumdog Millionaire / 贫民百万富翁(台)  /  一百万零一夜(港),2008 / 英国 美国 / 剧情 爱情,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),2010 / 美国 / 剧情 惊悚,8.5,黑暗之美。
记忆碎片 / Memento / 失忆  /  记忆拼图(台),2000 / 美国 / 犯罪 剧情 悬疑 惊悚,8.6,一个针管引发的血案。
傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice,2005 / 法国 英国 美国 / 剧情 爱情,8.5,爱是摈弃傲慢与偏见之后的曙光。
时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港),2013 / 英国 / 喜剧 爱情 奇幻,8.7,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
心迷宫 / 殡棺  /  The Coffin in the Mountain,2014 / 中国大陆 / 剧情 犯罪 悬疑,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
纵横四海 / 緃横四海 / Once a Thief,1991 / 香港 / 剧情 喜剧 动作 犯罪,8.8,香港浪漫主义警匪动作片的巅峰之作。
荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,8.8,始于荒诞，止于更荒诞。
雨人 / Rain Man / 手足情未了  /  手足情深,1988 / 美国 / 剧情,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
教父3 / The Godfather: Part III / 教父第三集  /  教父 III,1990 / 美国 / 剧情 犯罪,8.8,任何信念的力量，都无法改变命运。
海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,2015 / 德国 瑞士 南非 / 剧情 冒险 家庭,9.1,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港)  /  药命俱乐部(台),2013 / 美国 / 剧情 传记 同性,8.7,Jared Leto的腿比女人还美！
